CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona_Renta,REV_Garantia,Averia_grave,QUEJA_CAC,COSTE_VENTA,km_anno,Mas_1_coche,Revisiones,Edad_Cliente,Tiempo
53705,1,0,1,2,1,0,4,2,1,33,1,0,0,1,0,2,1,2524,18450,0,7,62,0
53724,1,0,1,2,1,0,0,1,1,8,1,0,0,3,0,2,1,2708,21375,0,4,61,0
53732,1,0,1,2,1,3,3,0,1,16,0,0,0,2,1,0,0,1144,20570,0,9,61,0
53747,1,0,1,2,1,3,0,1,1,32,0,0,0,4,1,1,1,2287,23356,0,4,50,0
53756,1,0,1,2,1,3,0,0,1,32,1,0,0,1,1,1,0,2859,32778,1,9,62,5
53776,1,0,1,2,1,0,3,0,1,11,0,0,0,1,1,0,0,3371,17291,0,7,57,0
53787,1,0,1,2,1,0,2,0,1,35,0,0,0,2,0,2,1,6919,11015,0,6,33,0
53804,1,0,1,2,1,0,3,0,1,47,0,0,0,2,1,2,1,2287,19231,0,7,60,0
53825,1,0,1,2,1,0,0,1,1,11,1,0,0,0,0,2,1,2736,3893,0,7,43,0
53839,1,0,1,2,1,0,0,0,1,13,0,0,0,2,0,0,1,2287,20298,0,7,40,0
53845,1,0,1,2,1,0,4,2,1,2,0,0,0,2,0,2,1,4061,8593,0,4,27,0
53846,1,0,1,2,1,3,4,2,1,32,0,0,0,0,0,2,1,3667,22821,1,6,42,10
53859,1,0,1,2,1,0,0,1,1,8,0,0,0,0,0,2,1,5639,30516,0,4,56,0
53872,1,0,1,2,1,0,0,1,1,48,0,0,0,2,1,2,1,5664,17675,0,6,41,0
53889,1,0,1,2,1,3,3,0,1,8,1,0,0,0,0,2,1,4259,22155,0,7,37,0
53950,1,0,1,2,1,0,0,0,1,32,0,0,0,0,0,0,1,3667,15890,0,4,54,0
53971,1,0,1,2,1,0,3,0,1,48,0,0,0,2,1,2,1,3010,10862,0,7,62,0
54012,1,0,1,2,1,0,0,1,1,8,0,0,0,0,0,2,1,5584,3225,1,4,26,8
54029,1,0,1,2,1,0,1,1,1,8,0,0,0,4,1,0,0,5139,23795,0,7,58,0
